StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,ExternalReference,DistributionChannel,UserLanguage,Q2,Q3,Q3,Q4,Q5,Q6,Q7,Q7_6_TEXT,Q95,Q96,Q97,Q98,Q99,Q100,Q101,Q102,Q103,Q104,Q105,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q113,Q114,Q115,Q116,Q117,Q118,Q119,Q120,Q121,Q122,Q123,Q124,Q125,Q126,Q127,Q128,Q129,Q130,Q131,Q132,Q133,Q134,Q135,Q136,Q137,Q138,Q139,Q140,Q141,Q142,Q143,Q144,Q145,Q8,Q9,Q10,Q11,Q11_11_TEXT,Q12,Q12_11_TEXT,Q13,Q14,disasterfs_supply_1,disasterfs_selection_1,disasterfs_kinds_1,disasterfs_quality_1,disasterfs_safe_1,disasterfs_transport_1,disasterfs_barriers_1,disasterfs_health_1,disasterfs_worry_1,disasterfs_enjoy_1,disasterfs_cook_1,disasterfs_equipment_1,disasterfs_services_1,disasterfs_budget_1,disasterfs_foodaid_1,Q17_18_1,disasterfs_supply_2,disasterfs_selection_2,disasterfs_kinds_2,disasterfs_quality_2,disasterfs_safe_2,disasterfs_transport_2,disasterfs_barriers_2,disasterfs_health_2,disasterfs_worry_2,disasterfs_enjoy_2,disasterfs_cook_2,disasterfs_equipment_2,disasterfs_services_2,disasterfs_budget_2,disasterfs_foodaid_2,Q17_18_2,disasterfs_supply_3,disasterfs_selection_3,disasterfs_kinds_3,disasterfs_quality_3,disasterfs_safe_3,disasterfs_transport_3,disasterfs_barriers_3,disasterfs_health_3,disasterfs_worry_3,disasterfs_enjoy_3,disasterfs_cook_3,disasterfs_equipment_3,disasterfs_services_3,disasterfs_budget_3,disasterfs_foodaid_3,Q17_18_3,Q16#1_1,Q16#1_2,Q16#1_3,Q16#1_4,Q16#1_5,Q16#1_6,Q16#1_7,Q16#1_8,Q16#1_9,Q16#1_10,Q16#1_11,Q16#1_12,Q16#1_13,Q16#1_14,Q16#1_14_TEXT,Q16#2_1,Q16#2_2,Q16#2_3,Q16#2_4,Q16#2_5,Q16#2_6,Q16#2_7,Q16#2_8,Q16#2_9,Q16#2_10,Q16#2_11,Q16#2_12,Q16#2_13,Q16#2_14,Q16#2_14_TEXT,Q17#1_1,Q17#1_2,Q17#1_3,Q17#1_4,Q17#2_1,Q17#2_2,Q17#2_3,Q17#2_4,Q17#3_1,Q17#3_2,Q17#3_3,Q17#3_4,Q18#1_1,Q18#2_1,Q18#3_1,Q19#1_1,Q19#2_1,Q19#3_1,Q20#1_1,Q20#1_2,Q20#1_3,Q20#1_4,Q20#1_5,Q20#1_6,Q20#1_7,Q20#1_8,Q20#1_9,Q20#1_9_TEXT,Q20#2_1,Q20#2_2,Q20#2_3,Q20#2_4,Q20#2_5,Q20#2_6,Q20#2_7,Q20#2_8,Q20#2_9,Q20#2_9_TEXT,Q20#3_1,Q20#3_2,Q20#3_3,Q20#3_4,Q20#3_5,Q20#3_6,Q20#3_7,Q20#3_8,Q20#3_9,Q20#3_9_TEXT,Q21#1_1,Q21#1_2,Q21#1_3,Q21#1_4,Q21#1_5,Q21#1_6,Q21#1_7,Q21#1_8,Q21#1_9,Q21#1_10,Q21#1_11,Q21#1_12,Q21#1_13,Q21#1_14,Q21#1_15,Q21#1_16,Q21#1_17,Q21#1_17_TEXT,Q21#2_1,Q21#2_2,Q21#2_3,Q21#2_4,Q21#2_5,Q21#2_6,Q21#2_7,Q21#2_8,Q21#2_9,Q21#2_10,Q21#2_11,Q21#2_12,Q21#2_13,Q21#2_14,Q21#2_15,Q21#2_16,Q21#2_17,Q21#2_17_TEXT,Q21#3_1,Q21#3_2,Q21#3_3,Q21#3_4,Q21#3_5,Q21#3_6,Q21#3_7,Q21#3_8,Q21#3_9,Q21#3_10,Q21#3_11,Q21#3_12,Q21#3_13,Q21#3_14,Q21#3_15,Q21#3_16,Q21#3_17,Q21#3_17_TEXT,Q22,Q22_5_TEXT,Q23#1_1,Q23#1_2,Q23#1_3,Q23#1_4,Q23#2_1,Q23#2_2,Q23#2_3,Q23#2_4,Q23#3_1,Q23#3_2,Q23#3_3,Q23#3_4,phq_nervous,phq_worry,gad_pleasure,gad_down,Q25,Q26,Q27,Q27_10_TEXT,Q70,Q71,Q72,Q73,Q74,Q74_2_TEXT,Q75,Q76,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q78,Q78_8_TEXT,Q153,Q154,Q161,Q79,Q81,Q82,Q82_6_TEXT,Q83,Q83_7_TEXT,Q84,Q155,opp,RISN,rid,V,Q_BallotBoxStuffing,Q_RelevantIDFraud,Q_TotalDuration,Q_CHL,transaction_id,SVID,tg,Region,clean,ResponseID,gc,term,LS,PS,Q_QualityScore,Q_Quality_TIMESTAMP
6/9/2025 17:06,6/9/2025 17:19,0,100,788,1,6/9/2025 17:19,R_3JUXc5eGdyWrCuw,,anonymous,EN,1,1,1,1,2,2,1,,14,,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,Katrina,10,"4,9",,"8,10",,3,1,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,2,2,3,2,2,2,2,2,2,1,2,1,1,1,1,1,,,,1,,,1,,none,,1,,1,,1,,,1,none,,,1,,,,1,,,none,1,,,1,,,,,1,,1,,,1,,,1,none,,1,,,1,1,1,1,,1,,1,1,,1,1,,none,,,1,,,1,,,,,,1,,,,1,,none,6,,2,2,2,2,2,2,2,2,2,3,3,3,2,3,2,2,1,2,7,,25,2,2,5,5,,0,1,0,0,0,4,0,3,,1,1,4,2,1,4,,3,,2,No,Qual2676-0927DisasterFoodSecurity,,,,,,788,anonymous,4wQAAZHxiUD2kg8fBBTFkP,43496568,,1_3_and_4,0,R_3JUXc5eGdyWrCuw,1,,{Invalid Expression},393,,
6/9/2025 17:58,6/9/2025 18:05,0,100,442,1,21-10-2025 10:14,R_1fCCPYVuMMMttBf,,anonymous,EN,1,1,1,2,1,2,"1,2",,14,,,,,,,,,,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,Hurricane Helene ,5,"1,2,3,4,5,6,7,8,9,10",,"1,6,7,8,9,10",,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,1,3,1,1,1,4,1,1,3,3,3,1,1,3,2,2,1,2,3,3,3,2,2,1,1,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,1,3,2,2,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,,,1,1,,1,,,,1,1,1,,1,,1,1,1,,1,,,,,1,,,,,,1,,,1,1,,,,,,1,,,,,,,,,,,2,,3,3,3,3,,,,,,,,,2,2,2,3,"1,3",1,9,,21,2,2,"3,5",5,,3,4,3,0,0,0,0,1,,1,1,4,4,3,"2,4",,3,,2,It was hard we couldn’t cook even when we naught good ,Qual2676-0927DisasterFoodSecurity,,,,,,442,anonymous,5Zeb0HdGXcBxX3gbYbmNNJ,43477937,,1_3_and_4,0,R_1fCCPYVuMMMttBf,1,,{Invalid Expression},1782,4,2025-10-21T16:14:09.023Z
6/9/2025 18:32,6/9/2025 18:38,0,100,320,1,21-10-2025 10:14,R_1AO9bmwsMrpTA6l,,anonymous,EN,1,1,1,2,1,1,5,,7,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Megadrought,1,1,,1,,1,1,3,1,3,2,3,3,3,3,3,1,1,4,3,4,3,3,3,3,3,2,2,2,1,1,2,1,1,1,3,1,3,1,1,1,1,1,1,1,1,3,2,3,2,1,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,2,3,1,3,3,2,4,4,2,2,1,2,2,2,1,1,,1,,1,,1,,,,,,,1,,,,,,,,1,1,,,1,,1,,1,1,1,,,,,,,1,1,,,1,1,,,,,,1,1,1,1,1,,,,,,1,,,,1,,,,,,,,,1,1,,1,1,,,,1,,,1,,2,2,2,2,2,3,3,2,2,3,2,2,2,,,,,1,2,,20,2,1,4,6,,3,3,0,0,1,2,,1,,1,1,1,3,1,1,,1,,1,,Qual2676-0927DisasterFoodSecurity,,,,,,320,anonymous,5KxO8wX61qij82cPcoUSLE,43477937,,2_6_and_9,0,R_1AO9bmwsMrpTA6l,1,,{Invalid Expression},1782,15,2025-10-21T16:14:08.926Z
6/9/2025 18:39,6/9/2025 18:49,0,100,600,1,6/9/2025 18:49,R_5JmDkR3okRNVvaj,,anonymous,EN,1,1,1,1,2,1,2,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,5,snowstorm,5,1,,10,,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,4,1,4,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,2,,4,,4,4,,,,,,,,,2,3,4,1,1,1,3,,23,3,1,3,8,,1,1,0,0,1,0,0,2,,2,2,2,1,1,4,,1,,1,,Qual2676-0927DisasterFoodSecurity,,,,,,600,anonymous,636op7TzUeUDT7vMeFNfCZ,43477937,,2_6_and_9,0,R_5JmDkR3okRNVvaj,1,,{Invalid Expression},1782,,
6/9/2025 18:42,6/9/2025 18:56,0,100,835,1,6/9/2025 18:56,R_3ROeO8JMceHk0SJ,,anonymous,EN,1,1,1,1,1,2,1,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,9,Y is well ,3,5,,8,,1,2,1,2,2,2,2,2,2,2,1,2,3,3,2,3,4,4,1,2,2,2,2,2,2,3,2,3,2,3,3,3,3,4,1,2,2,3,3,2,2,2,1,2,3,4,4,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,3,2,4,3,3,3,2,3,2,2,2,2,1,2,1,,,,,,,,,Good ,,1,,,,,,1,1,Good ,,,1,1,1,1,1,,,Good ,1,,,,,,,,,1,,,,,,,,Good ,,1,1,,,1,1,1,1,,1,1,1,1,1,1,,Good ,,,,1,1,,,,,,,,,,,,1,Good ,6,,2,2,2,2,,,,,,,,,2,3,2,3,2,2,3,,30,2,2,5,3,,1,2,0,0,0,1,0,1,,1,1,1,1,1,1,,2,,2,Good morning I am writing ,Qual2676-0927DisasterFoodSecurity,,,,,,835,anonymous,4oTbwAeUIXHSTSqU4R6jbM,43477937,,1_3_and_4,0,R_3ROeO8JMceHk0SJ,1,,{Invalid Expression},1782,,
6/9/2025 19:09,6/9/2025 19:15,0,100,338,1,6/9/2025 19:15,R_34uzFZErtDd7AiJ,,anonymous,EN,1,1,1,1,1,1,1,,7,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,"1,3,4",,,,1,1,2,4,4,2,4,4,3,2,1,2,4,2,4,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,1,1,1,,1,1,1,,,,,1,1,2,2,1,2,2,,29,2,2,1,6,,4,3,1,2,3,1,0,1,,1,1,1,1,1,1,,1,,1,Muy bien ,Qual2676-0927DisasterFoodSecurity,,,,,,338,anonymous,17cxNNHeffeNBTQBq1EF4G,43496568,,2_6_and_9,0,R_34uzFZErtDd7AiJ,1,,{Invalid Expression},393,,
6/9/2025 19:23,6/9/2025 19:32,0,100,502,1,21-10-2025 10:14,R_5MiLoQrKlPw7PDE,,anonymous,EN,1,1,1,1,2,1,2,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,8,Hurricane Katrina ,10,"1,3,4,5,6,7",,"8,9",,1,1,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,4,4,3,3,4,3,4,2,3,2,4,2,4,4,4,4,1,3,2,4,2,4,4,4,2,4,2,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,2,4,4,3,3,3,2,2,2,1,2,1,1,3,1,1,1,1,1,1,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,1,,1,1,1,,1,1,1,,,,,,,,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,,,,,,,,,2,,2,2,1,1,3,1,1,1,,,,,1,2,2,4,1,5,1,,22,2,1,3,3,,4,3,2,,22,,,2,,1,1,1,1,3,2,,1,,1,No thanks ,Qual2676-0927DisasterFoodSecurity,,,,,,502,anonymous,2kb9m5FpzvANVfPpSJQ79i,43477937,,2_6_and_9,0,R_5MiLoQrKlPw7PDE,1,,{Invalid Expression},1782,4,2025-10-21T16:14:09.023Z
6/9/2025 19:32,6/9/2025 19:35,0,100,178,1,21-10-2025 10:14,R_7qNIiueZYWPlXmv,,anonymous,EN,1,1,1,1,1,1,1,,9,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,TRUE,3,3,,4,,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,4,4,4,4,3,3,3,3,1,1,1,1,2,2,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,1,,,,,,,,6,,1,1,1,1,,,,,,,,,2,4,3,3,1,3,2,,28,1,1,4,3,,5,2,0,1,1,0,0,2,,1,1,3,2,3,2,,4,,2,,Qual2676-0927DisasterFoodSecurity,,,,,,178,anonymous,2LIGlHZWP5MOo8f4Ehmzay,43477937,,2_6_and_9,0,R_7qNIiueZYWPlXmv,1,,{Invalid Expression},1782,15,2025-10-21T16:14:08.926Z
6/9/2025 19:40,6/9/2025 19:52,0,100,707,1,6/9/2025 19:52,R_7VlRq2kccBrBDGR,,anonymous,EN,1,1,1,1,2,2,2,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,8,Hurricane ,4,"3,5",,1,,3,5,3,3,3,3,3,3,3,3,3,3,2,2,1,3,3,2,2,3,2,3,1,2,1,1,1,1,2,3,3,3,1,2,2,2,3,2,2,3,2,1,1,2,2,2,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,3,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,1,,,1,1,,1,,1,1,,,1,,,,1,,,1,,1,1,1,1,,1,1,,1,,1,,1,,,,,1,,1,,1,,1,1,,,,,1,,,,2,,1,4,4,4,2,3,3,,2,2,2,,3,3,3,3,1,4,3,,19,2,2,3,3,,0,1,,,,1,,5,,1,1,3,1,1,3,,"1,3",,2,No,Qual2676-0927DisasterFoodSecurity,,,,,,707,anonymous,2uUFfWHbCgHCxyi0DFQwF2,43477937,,1_3_and_4,0,R_7VlRq2kccBrBDGR,1,,{Invalid Expression},1782,,
6/9/2025 20:20,6/9/2025 20:27,0,100,445,1,21-10-2025 10:14,R_6QnDttX0c59JmJn,,anonymous,EN,1,1,1,2,2,2,1,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,9,Ididid,4,8,,"4,9",,2,3,4,3,3,3,2,3,2,3,2,2,1,2,2,2,1,2,1,1,1,2,2,3,2,1,2,3,2,2,2,2,2,3,2,2,3,2,2,4,3,4,3,2,4,2,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,3,2,3,2,3,2,2,3,2,1,2,1,3,2,2,1,1,,1,,,1,1,,,,,1,,1,1,,,,,,,,,,,,,,,,1,,,1,,,,1,,1,,1,,,,,,1,,1,1,,,1,1,,,1,,,1,,1,,,,,,,1,,,,1,1,1,,1,,1,1,,,1,,4,4,3,4,,2,3,4,3,4,4,1,3,4,3,2,1,1,,,25,2,2,5,6,,2,1,0,0,0,2,0,1,,1,1,1,3,1,7,,8,,2,Nothing more,Qual2676-0927DisasterFoodSecurity,,,,,,445,anonymous,7wH0JpAzx8UOuqEGmrxMJe,43477937,,2_6_and_9,0,R_6QnDttX0c59JmJn,1,,{Invalid Expression},1782,15,2025-10-21T16:14:08.926Z
